lr,batch_size,best_val_f1,val_accuracy,runtime_sec,memory_delta_mb
5e-05,8,0.839094549003635,0.8392,1742.0567412376404,1.5546875
5e-05,16,0.8357999934319997,0.835,1668.2800014019012,0.51171875
0.0001,8,0.8435774751564225,0.84,1731.9003865718842,0.64453125
0.0001,16,0.8476856484774509,0.8478,1667.42800283432,0.9296875
