lr,batch_size,best_val_f1,val_accuracy,runtime_sec,memory_delta_mb
5e-05,8,0.825384570980692,0.8254,1675.3134846687317,0.1328125
5e-05,16,0.8043860809472845,0.805,1606.9632523059845,0.13671875
0.0001,8,0.8311649903724037,0.8312,1667.3483219146729,0.0
0.0001,16,0.8157665098439157,0.816,1607.9330842494965,0.0
